dataset,channel,f_Hz,psd_mV2_Hz
修订前,Ut1,10.8,0.0018829320857897528
修订前,Ut1,10.9,0.0007324714390562428
修订前,Ut1,11.0,0.0007022786138627646
修订前,Ut1,11.100000000000001,0.0005239545030009927
修订前,Ut1,11.200000000000001,0.0010048937402846127
修订前,Ut1,11.3,0.0016082534592657383
修订前,Ut1,11.4,0.0016251550166496052
修订前,Ut1,11.5,0.0008831705403536699
修订前,Ut1,11.600000000000001,0.0006973590896478053
修订前,Ut1,11.700000000000001,0.0008060958903389939
修订前,Ut1,11.8,0.0008042594466749461
修订前,Ut1,11.9,0.0016364141163809772
修订前,Ut1,12.0,0.0021818815110080957
修订前,Ut1,12.100000000000001,0.0013766224916018182
修订前,Ut1,12.200000000000001,0.0010412020060647374
修订前,Ut1,12.3,0.005513153831074081
修订前,Ut1,12.4,0.0036658473504715123
修订前,Ut1,12.5,0.0007847242419951581
修订前,Ut1,12.600000000000001,0.0009216079172055862
修订前,Ut1,12.700000000000001,0.0012429388498293981
修订前,Ut1,12.8,0.0007534232228556204
修订前,Ut1,12.9,0.0006953574509465727
修订前,Ut1,13.0,0.0011181745541162936
修订前,Ut1,13.100000000000001,0.0004117317866928168
修订前,Ut1,13.200000000000001,0.0022379148222172298
修订前,Ut1,13.3,0.01237774639441434
修订前,Ut1,13.4,0.008979322315177833
修订前,Ut1,13.5,0.0016323544891943252
修订前,Ut1,13.600000000000001,0.000787231698681513
修订前,Ut1,13.700000000000001,0.0008322887129797617
修订前,Ut1,13.8,0.0006733116963082679
修订前,Ut1,13.9,0.00088957682731385
修订前,Ut1,14.0,0.0009409439302640655
修订前,Ut1,14.100000000000001,0.0009286794182877555
修订前,Ut1,14.200000000000001,0.00044617636711264183
修订前,Ut1,14.3,0.0012878302548805806
修订前,Ut1,14.4,0.0015159396558799027
修订前,Ut1,14.5,0.0007903516093057131
修订前,Ut1,14.600000000000001,0.000826581605420539
修订前,Ut1,14.700000000000001,0.0017637832278791564
修订前,Ut1,14.8,0.001144300784860655
修订前,Ut1,14.9,0.0008635110693499644
修订前,Ut1,15.0,0.0012441574758292162
修订前,Ut1,15.100000000000001,0.0012455123551836577
修订前,Ut1,15.200000000000001,0.001044675467321807
修订前,Ut1,15.3,0.00164138749636798
修订前,Ut1,15.4,0.001490267309247753
修订前,Ut1,15.5,0.0006187545496915433
修订前,Ut1,15.600000000000001,0.0004994592510703199
修订前,Ut1,15.700000000000001,0.0007781007090982325
修订前,Ut1,15.8,0.0010749600763403152
修订前,Ut1,15.9,0.0016001432407163417
修订前,Ut1,16.0,0.0015061061676687212
修订前,Ut1,16.1,0.0028451048267766964
修订前,Ut1,16.2,0.012012477414506978
修订前,Ut1,16.3,0.005169807735907101
修订前,Ut1,16.400000000000002,0.0010088427381633807
修订前,Ut1,16.5,0.0012887628254976307
修订前,Ut1,16.6,0.0017969903913177452
修订前,Ut1,16.7,0.002313737023449652
修订前,Ut1,16.8,0.0011151522831302364
修订前,Ut1,16.900000000000002,0.0008234708508887541
修订前,Ut1,17.0,0.0023511979265352484
修订前,Ut1,17.1,0.010386637386745732
修订前,Ut1,17.2,0.004741622239464816
修订前,Ut1,17.3,0.0013149702278041455
修订前,Ut1,17.400000000000002,0.0017083606651335423
修订前,Ut1,17.5,0.0011238653772184066
修订前,Ut1,17.6,0.000692654103169925
修订前,Ut1,17.7,0.0006043929360174743
修订前,Ut1,17.8,0.000722668799031797
修订前,Ut1,17.900000000000002,0.0015259383526799466
修订前,Ut1,18.0,0.0021839045412293655
修订前,Ut1,18.1,0.0011207630520726915
修订前,Ut1,18.2,0.001055374119010428
修订前,Ut1,18.3,0.0014709909331774547
修订前,Ut1,18.400000000000002,0.0014594599177314203
修订前,Ut1,18.5,0.0015699779594023978
修订前,Ut1,18.6,0.0019722029708398527
修订前,Ut1,18.7,0.0023011356291636827
修订前,Ut1,18.8,0.0026516390075398827
修订前,Ut1,18.900000000000002,0.009231482103580005
修订前,Ut1,19.0,0.009002340143534428
修订前,Ut1,19.1,0.016117888055325855
修订前,Ut1,19.200000000000003,0.016034423746132186
修订前,Ut1,19.3,0.005365000346837313
修订前,Ut1,19.400000000000002,0.002678314570166744
修订前,Ut1,19.5,0.0073824058387396965
修订前,Ut1,19.6,0.015726276746219695
修订前,Ut1,19.700000000000003,0.007195601913724653
修订前,Ut1,19.8,0.009511337931616607
修订前,Ut1,19.900000000000002,0.016532082975645394
修订前,Ut1,20.0,0.04024061826276612
修订前,Ut1,20.1,0.016741703655571847
修订前,Ut1,20.200000000000003,0.009202536570244425
修订前,Ut1,20.3,0.007243374571302457
修订前,Ut1,20.400000000000002,0.01541331584355436
修订前,Ut1,20.5,0.007445757309172146
修订前,Ut1,20.6,0.0016834798858104975
修订前,Ut1,20.700000000000003,0.003851556850530138
修订前,Ut1,20.8,0.015545127734979765
修订前,Ut1,20.900000000000002,0.017576584882877905
修订前,Ut1,21.0,0.013924326933819613
修订前,Ut1,21.1,0.009199954502557804
修订前,Ut1,21.200000000000003,0.002096420861208939
修订前,Ut1,21.3,0.002494171261343547
修订前,Ut1,21.400000000000002,0.0026625689843854743
修订前,Ut1,21.5,0.0019585643185129477
修订前,Ut1,21.6,0.001016565326633183
修订前,Ut1,21.700000000000003,0.0008556271530135853
修订前,Ut1,21.8,0.0008029770194445711
修订前,Ut1,21.900000000000002,0.001698849646374404
修订前,Ut1,22.0,0.002601457785976506
修订前,Ut1,22.1,0.0016569951668352018
修订前,Ut1,22.200000000000003,0.0007751172659828516
