time_s,Ut1_raw,Ut1_median3,Ut1_raw_bp,Ut1_median3_bp,Ut2_raw,Ut2_median3,Ut2_raw_bp,Ut2_median3_bp
78.31,1999.58801,1997.14661,-0.013437137817093173,-0.15711078092217162,1621.39893,1622.31445,-0.10468405190454551,-0.14986287335803733
78.32,1996.91772,1996.91772,-0.037390917204742344,-0.17318201940914807,1622.31445,1622.31445,-0.09895059324890444,-0.1427911217051036
78.33,1997.07031,1997.07031,-0.07154886290494603,-0.18610687765339226,1622.31445,1622.31445,-0.09083943000152885,-0.13605721306280102
78.34,1999.35913,1997.07031,-0.11390559081565929,-0.19573645024024153,1621.09375,1622.31445,-0.08157760101959607,-0.129728501304202
78.35,1995.84961,1997.07031,-0.16184816331546892,-0.20212548409358444,1622.69592,1622.31445,-0.07262195372603361,-0.12382645697776959
78.36,1996.99402,1996.99402,-0.212342284242387,-0.20550509326697775,1622.31445,1622.31445,-0.06550563016907214,-0.1183348382962658
78.37,1999.35913,1996.99402,-0.2621555405115953,-0.2062481217581401,1621.39893,1622.31445,-0.06165597807278986,-0.1132088412808425
78.38,1997.07031,1997.07031,-0.3081050889945416,-0.20483153230849088,1622.39075,1622.31445,-0.062204169392586536,-0.10838440600935105
78.39,1997.07031,1997.07031,-0.3473159805042767,-0.20179934828497872,1622.39075,1622.39075,-0.06781095725434869,-0.10378748443428369
78.4,1996.84143,1997.07031,-0.3774710044875982,-0.19772865862836939,1622.39075,1622.39075,-0.07853472865361984,-0.09934371422551685
78.41,1996.76514,1996.84143,-0.3970230240701227,-0.19319982637571617,1622.31445,1622.39075,-0.09376720949144549,-0.09498926879227909
78.42,1997.07031,1996.84143,-0.40533526972926825,-0.18877025291513272,1622.31445,1622.31445,-0.11225640089397224,-0.09068327815040267
78.43,1997.14661,1997.07031,-0.40272156235911644,-0.18494968522357078,1622.31445,1622.31445,-0.13222435555321724,-0.08642106366509111
78.44,1996.99402,1997.07031,-0.3903746777841188,-0.182175324073566,1622.31445,1622.31445,-0.15157156070793829,-0.08224601649690605
78.45,1995.9259,1996.99402,-0.3701899773608069,-0.18078690984610998,1622.54333,1622.31445,-0.1681431770085386,-0.07825709661765107
78.46,1999.58801,1996.99402,-0.34450873125823256,-0.18100392968454765,1619.2627,1622.31445,-0.18001728637442554,-0.07460913803741032
78.47,1996.84143,1996.84143,-0.3158200386692894,-0.18290759746206792,1622.39075,1622.39075,-0.18576499584022044,-0.07150430179179318
78.48,1996.99402,1996.99402,-0.2864686918120114,-0.18642949744259582,1622.31445,1622.31445,-0.1846335532497298,-0.06917461576372552
78.49,1998.90137,1996.99402,-0.258413375481503,-0.19134806588602496,1621.39893,1622.31445,-0.17662117265956523,-0.06785703942361296
78.5,1995.77332,1996.99402,-0.23306512552827952,-0.19729414314034582,1622.61963,1622.31445,-0.1624396642817561,-0.06776358537879185
78.51,1996.91772,1996.91772,-0.21121718460528746,-0.2037671316360805,1622.39075,1622.39075,-0.1433845598722093,-0.06904977957339015
78.52,1999.35913,1996.91772,-0.19306206787212074,-0.21016288212599135,1621.39893,1622.39075,-0.12114438599698879,-0.0717853377820026
78.53,1996.91772,1996.91772,-0.17828312780417713,-0.21581305796386008,1622.31445,1622.31445,-0.09758258017981777,-0.07593122936337438
78.54,1996.91772,1996.91772,-0.16620329486046082,-0.22003398445729053,1622.31445,1622.31445,-0.07452215297573639,-0.0813268407729976
78.55,1996.76514,1996.91772,-0.15596658229943114,-0.22218147762777316,1622.31445,1622.31445,-0.053558663220192065,-0.08768961869964517
78.56,1996.76514,1996.76514,-0.14671869191972658,-0.22170696071640886,1622.39075,1622.31445,-0.03592244753030582,-0.09462785427197234
78.57,1996.84143,1996.76514,-0.1377513132107628,-0.21820926851616446,1622.23816,1622.31445,-0.022404060309627688,-0.10166574534099851
78.58,1999.20654,1996.84143,-0.12858697979137293,-0.211476274008952,1621.39893,1622.23816,-0.013346017371845431,-0.1082786764488779
78.59,1996.91772,1996.91772,-0.11900191077779435,-0.20151148376821332,1622.31445,1622.23816,-0.008691728259473758,-0.1139356367725746
78.6,1995.9259,1996.91772,-0.10900062395064758,-0.18854308061650873,1622.54333,1622.31445,-0.008073756503138851,-0.1181448923044438
78.61,1999.43542,1996.91772,-0.09876086831782843,-0.1730155330040161,1621.24634,1622.31445,-0.010920938098164468,-0.12049866577889895
78.62,1996.84143,1996.84143,-0.08856443188511415,-0.15556554917235987,1622.23816,1622.23816,-0.016565768124325614,-0.12071262020158136
78.63,1996.84143,1996.84143,-0.07872601267863014,-0.1369844379049485,1622.16187,1622.16187,-0.024337006519103033,-0.11865599205649946
78.64,1998.13843,1996.84143,-0.06952919810727698,-0.11816858966213595,1621.85669,1622.16187,-0.033627374563789,-0.1143681534418593
78.65,1995.84961,1996.84143,-0.06117367240342114,-0.10005991686352883,1622.54333,1622.16187,-0.043932769276428196,-0.10805784051570225
78.66,1996.99402,1996.99402,-0.05373436948952412,-0.08357927911139604,1622.31445,1622.31445,-0.054865411998735986,-0.10008313436050509
78.67,2000.42725,1996.99402,-0.04713609036563818,-0.06955788080354236,1620.86487,1622.31445,-0.06614602980092255,-0.0909135704506788
78.68,1996.76514,1996.99402,-0.04115431782631407,-0.05867337088150107,1622.31445,1622.31445,-0.07757959957904992,-0.08107939707820397
78.69,1996.91772,1996.91772,-0.035454968812866555,-0.05139776991585232,1622.31445,1622.31445,-0.08901881897957103,-0.07111551557515339
78.7,1996.91772,1996.91772,-0.02967389186912381,-0.047962929520337344,1622.39075,1622.31445,-0.10032269737465727,-0.06150821072509399
78.71,1996.68884,1996.91772,-0.02351639451319054,-0.04834658224026711,1622.39075,1622.39075,-0.11132248221419691,-0.05265168092376596
78.72,1996.91772,1996.91772,-0.01684492559968581,-0.052279288156236836,1622.23816,1622.39075,-0.12180697109427,-0.04481933229705276
78.73,1999.05396,1996.91772,-0.009728849050763155,-0.05927044667454906,1620.25452,1622.23816,-0.1315308285133245,-0.03815224075366558
78.74,1996.68884,1996.91772,-0.0024474062724074153,-0.06864998591187244,1622.31445,1622.23816,-0.14023757910041684,-0.03266427020467225
78.75,1995.9259,1996.68884,0.004547968154999804,-0.07962099936638048,1622.54333,1622.31445,-0.14768263715697413,-0.02826057732473758
78.76,1999.28284,1996.68884,0.010699977225248236,-0.09131741203493415,1621.24634,1622.31445,-0.1536460921849863,-0.02476458720751898
78.77,1996.76514,1996.76514,0.015428010925039537,-0.10286034102841374,1622.31445,1622.31445,-0.15793537858791445,-0.021948511525844594
